Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Firefox 63.0,,2018-11-16 16:16:46,2018-11-16 16:17:43,56.861s,PASSED
,,,,,,
Test Cases/LoginSuccessLogout,Firefox 63.0,,2018-11-16 16:16:46,2018-11-16 16:17:41,54.360s,PASSED
openBrowser,Firefox 63.0,,2018-11-16 16:16:47,2018-11-16 16:16:55,7.914s,PASSED
navigateToUrl,Firefox 63.0,,2018-11-16 16:16:55,2018-11-16 16:17:28,32.724s,PASSED
setText,Firefox 63.0,,2018-11-16 16:17:28,2018-11-16 16:17:28,0.174s,PASSED
setEncryptedText,Firefox 63.0,,2018-11-16 16:17:28,2018-11-16 16:17:28,0.258s,PASSED
click,Firefox 63.0,,2018-11-16 16:17:28,2018-11-16 16:17:40,12.524s,PASSED
click,Firefox 63.0,,2018-11-16 16:17:40,2018-11-16 16:17:41,0.277s,PASSED
